#Source = https://coinmarketcap.com/all/views/all/,Retrieved: 21/10/20,,,,,,,,,,
Rank,Name,Symbol,Market Cap,Markey Cap (cleaned),Price,Circulating Supply,Circulating (cleaned),Volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$225,970,487,355 ",2.2597E+11,"$12,199.63 ","18,522,731 BTC",18522731,"$34,657,706,300 ",1.82%,4.20%,6.71%
2,Ethereum,ETH,"$42,836,743,740 ",42836743740,$378.78 ,"113,091,410 ETH",113091410,"$16,392,236,320 ",2.03%,-0.12%,-1.12%
3,Tether,USDT,"$15,918,836,179 ",15918836179,$1.00 ,"15,897,187,815 USDT *",15897187815,"$49,302,683,259 ",0.01%,0.06%,0.03%
4,XRP,XRP,"$11,174,176,677 ",11174176677,$0.25 ,"45,248,061,374 XRP *",45248061374,"$1,625,850,810 ",0.84%,0.61%,-4.07%
5,Bitcoin Cash,BCH,"$4,658,012,715 ",4658012715,$251.10 ,"18,550,144 BCH",18550144,"$2,430,374,003 ",2.70%,0.47%,-1.50%
6,Binance Coin,BNB,"$4,249,782,097 ",4249782097,$29.43 ,"144,406,561 BNB *",144406561,"$543,230,222 ",1.18%,-2.16%,-4.36%
7,Chainlink,LINK,"$4,026,622,964 ",4026622964,$10.36 ,"388,509,556 LINK *",388509556,"$1,401,628,985 ",3.67%,-4.42%,-6.74%
8,Polkadot,DOT,"$3,458,099,655 ",3458099655,$4.06 ,"852,647,705 DOT *",852647705,"$538,891,686 ",2.93%,1.83%,-4.53%
9,Cardano,ADA,"$3,248,541,900 ",3248541900,$0.10 ,"31,112,484,646 ADA",31112484646,"$774,051,353 ",1.04%,-3.80%,-4.93%
10,Litecoin,LTC,"$3,230,844,321 ",3230844321,$49.17 ,"65,712,140 LTC",65712140,"$1,879,191,876 ",3.90%,2.10%,-1.72%
