n 	Bubble (random)	Bubble (descending)	Insertion (random)	Insertion (descending)	Selection (random)	Selection (descending)
1	0.000	0.000	0.000	0.000	0.000	0.000
2	0.000	0.000	0.000	0.000	0.000	0.000
4	0.333	0.000	0.000	0.000	0.000	0.000
8	1.000	1.000	1.000	1.000	0.333	0.000
16	4.000	5.333	1.333	3.000	2.000	2.667
32	18.333	17.000	7.000	14.333	8.667	8.333
64	80.667	69.333	31.333	57.000	39.667	32.667
128	232.667	280.333	118.333	269.333	165.333	239.000
256	463.333	140.667	474.333	356.000	720.000	113.333
512	337.667	187.000	522.667	92.000	635.667	133.000
1024	1722.667	845.000	239.667	400.667	566.333	520.667
2048	3468.000	3079.666	1688.667	1211.667	2058.667	2129.333
4096	13856.000	12379.000	3520.667	4914.667	7596.000	8745.666
8192	84001.333	51496.333	10741.000	20219.000	21785.668	25227.333
						
						
						
						
						
						
						
						
						
